'Dm', 'Dm', 'Dm', 'A', 'Dm', 'A', 'F', 'C'
'C', 'G', 'F', 'G', 'G', 'F', 'G', 'C'
'F', 'C', 'G', 'F', 'G', 'C', 'G', 'F'
'C', 'F', 'C', 'F', 'Dm', 'C', 'C', 'F'
'F', 'C', 'G', 'A7', 'F', 'C', 'G', 'F'
'C#', 'F#', 'C#', 'D#', 'C#', 'F#', 'C#', 'D#'
'F7', 'C', 'G', 'F7', 'C', 'G', 'F7', 'C'
'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'Am'
'Dm', 'C', 'Dm', 'C', 'Dm', 'C', 'Dm', 'C'
'C', 'Fm', 'C', 'A#', 'C7', 'F7', 'G7', 'Em7'
'Am', 'C', 'Am', 'F', 'C', 'C', 'G#', 'C'
'Am', 'G', 'Am', 'G', 'Am', 'G', 'Am', 'G'
'Am', 'C', 'F', 'G', 'Am', 'C', 'F', 'G'
'Dm', 'C', 'F', 'G', 'Dm', 'C', 'F', 'A#'
'C', 'Am7', 'Dm', 'C', 'G7', 'C', 'Am7', 'A#7'
'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C'
'C', 'G', 'F', 'F', 'F', 'B#', 'C', 'Dm7'
'C', 'C7', 'C7', 'A7', 'Dm', 'Dm7', 'G', 'G7'
'C', 'G', 'F', 'C', 'G', 'A', 'C', 'G'
'C7', 'F', 'C7', 'A#', 'C7', 'F', 'C7', 'F'
'C', 'Cm7', 'A#', 'E#', 'F', 'G', 'Dm', 'G7'
'C', 'C', 'Fm', 'C', 'C', 'Em7', 'A#', 'A'
'C', 'C', 'Dm', 'Dm', 'Dm', 'C', 'C', 'G'
'G', 'F', 'C', 'F', 'C', 'G', 'F', 'C'
'Cm', 'Cm', 'F', 'Dm', 'G', 'Cm', 'F', 'Dm'
'C', 'G', 'Am', 'C', 'E#', 'Am', 'G', 'C'
'Dm', 'C', 'D#', 'C', 'D#', 'A#', 'G#', 'C'
'F7', 'F', 'Am7', 'Am7', 'Gm7', 'F', 'F7', 'F'
'Dm', 'Fb', 'Dm', 'A#', 'Dm', 'Am', 'Dm', 'Am'
'Cb', 'D#', 'A#', 'Fb', 'Cb', 'D#', 'A#', 'Fb'
'C', 'Em7', 'Am7', 'G#7', 'G#', 'C', 'F', 'A#'
'C', 'C', 'F', 'Fm', 'C', 'C', 'F', 'G'
'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G'
'C7', 'Em', 'F', 'Am', 'G', 'C7', 'Am', 'G'
'G', 'Dm', 'G', 'G', 'Dm', 'G', 'Gm', 'Dm'
'C', 'F', 'C', 'F', 'G', 'C', 'C', 'G'
'C#', 'Am', 'Dm', 'Em', 'F#', 'C#', 'Am', 'Dm'
'Gm', 'Cm', 'Dm', 'Gm7', 'G7', 'C7', 'D', 'Em7'
'C#7', 'C#m', 'C#7', 'G#', 'C7', 'C#', 'B', 'C7'
'C', 'G', 'Am', 'F', 'F7', 'C', 'G', 'Am'
'C', 'Am7', 'Am', 'F', 'G', 'D', 'C7', 'Am7'
'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F'
'F', 'C', 'Dm', 'C', 'F', 'C', 'Dm', 'C'
'Em', 'Dm', 'C', 'C', 'Fb', 'Am', 'Dm', 'E7'
'A', 'G', 'F7', 'E7', 'E7', 'Am', 'C7', 'C'
'Dm', 'F', 'G', 'Dm', 'F', 'G', 'G', 'F'
'C', 'Am', 'C', 'G#', 'Am', 'G#', 'Dm', 'Am'
'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C'
'Gm', 'Dm', 'A', 'Gm', 'Fb', 'G', 'Cb', 'Gm'
'A', 'A', 'G', 'A', 'F#', 'A', 'Fb', 'A'
'Dm', 'G', 'Am', 'Bm', 'C', 'Dm', 'F', 'G'
'Dm', 'G', 'D', 'Cb', 'G', 'G', 'Dm7', 'Dm'
'Em', 'C#', 'C#', 'B', 'A#', 'Em', 'C#', 'C#'
'C', 'Dm7', 'G7', 'C', 'C', 'Dm', 'G7', 'C'
'F', 'F', 'F7', 'F7', 'F', 'F', 'F', 'F7'
'Em', 'B#', 'Em', 'B#', 'Em', 'G', 'A#', 'Am'
'G', 'C', 'Em', 'G', 'C', 'G', 'C', 'F'
'C7', 'F', 'C7', 'C7', 'C', 'F7', 'C7', 'F7'
'Am', 'C', 'C', 'Bm', 'F', 'G', 'C', 'Bm'
'C', 'F', 'Am', 'Dm', 'A#', 'A', 'Dm', 'C'
'Am', 'E', 'Am', 'G', 'Am', 'G', 'Am', 'G'
'G', 'G', 'G#', 'F', 'G', 'G#', 'G', 'G#'
'C', 'C', 'C', 'C', 'C', 'G', 'G', 'G'
